movieID	actorID	actorName	ranking
1	annie_potts	Annie Potts	10
1	bill_farmer	Bill Farmer	20
1	don_rickles	Don Rickles	3
1	erik_von_detten	Erik von Detten	13
1	greg-berg	Greg Berg	17
1	jack_angel	Jack Angel	6
1	jan_rabson	Jan Rabson	19
1	jim_varney	Jim Varney	4
1	joan_cusack	Joan Cusack	24
1	joe-ranft	Joe Ranft	16
1	john_morris	John Morris	23
1	john_ratzenberger	John Ratzenberger	12
1	kendall_cunningham	Kendall Cunningham	21
1	laurie_metcalf	Laurie Metcalf	8
1	patrick_pinney	Patrick Pinney	9
1	penn_jillette	Penn Jillette	15
1	philip_proctor	Philip Proctor	11
1	r_lee_ermey	R. Lee Ermey	14
1	sarah_freeman	Sarah Freeman	22
1	scott_mcafee	Scott McAfee	18
1	sherry_lynn	Sherry Lynn	7
1	tim_allen	Tim Allen	2
1	tom_hanks	Tom Hanks	1
1	wallace_shawn	Wallace Shawn	5
2	1135379-peter_bryant	Peter Bryant	16
2	adam_hannbyrd	Adam Hann-Byrd	13
2	bebe_neuwirth	Bebe Neuwirth	5
2	bonnie_hunt	Bonnie Hunt	2
2	bradley_pierce	Bradley Pierce	4
2	darryl_henriques	Darryl Henriques	14
2	david_alan_grier	David Alan Grier	11
2	david_hyde_pierce	David Hyde Pierce	18
2	gillian_barber	Gillian Barber	7
2	james_handy	James Handy	12
2	jonathan_hyde	Jonathan Hyde	6
2	kirsten_dunst	Kirsten Dunst	3
2	laura_bell_bundy	Laura Bell Bundy	17
2	lloyd_berry	Lloyd Berry	8
2	malcolm_stewart	Malcolm Stewart	15
2	patricia_clarkson	Patricia Clarkson	9
2	robin_driscoll	Robin Driscoll	10
2	robin_williams	Robin Williams	1
3	annmargret	Ann-Margret	3
3	buck_henry	Buck Henry	8
3	buffy_sedlachek	Buffy Sedlachek	13
3	burgess_meredith	Burgess Meredith	4
3	christopher_mcdonald	Christopher McDonald	9
3	daryl_hannah	Daryl Hannah	5
3	isabell_oconnor	Isabell Monk	12
3	jack_lemmon	Jack Lemmon	1
3	joe_howard	Joe Howard	10
3	john_carroll_lynch	John Carroll Lynch	15
3	kevin_pollak	Kevin Pollak	6
3	ollie_osterberg	Ollie Osterberg	11
3	ossie_davis	Ossie Davis	7
3	sharon_howard_field	Sharon Howard-Field	14
3	steve_cochran	Steve Cochran	16
3	walter_matthau	Walter Matthau	2
4	1026174-leon	Leon	12
4	angela_bassett	Angela Bassett	2
4	brandon-hammond	Brandon Hammond	19
4	dennis_haysbert	Dennis Haysbert	6
4	donald_faison	Donald Faison	11
4	ezra_swerdlow	Ezra Swerdlow	17
4	giancarlo_esposito	Giancarlo Esposito	10
4	graham_galloway	Graham Galloway	18
4	gregory_hines	Gregory Hines	5
4	jeffrey_d_sams	Jeffrey D. Sams	20
4	lamont_johnson	Lamont Johnson	16
4	lela_rochon	Lela Rochon	4
4	loretta_devine	Loretta Devine	3
4	michael_beach	Michael Beach	7
4	mykelti_williamson	Mykelti Williamson	15
4	starletta_dupois	Starletta DuPois	9
4	wendell_pierce	Wendell Pierce	13
4	wesley_snipes	Wesley Snipes	14
4	whitney_houston	Whitney Houston	1
4	wren_t_brown	Wren T. Brown	8
5	ann-walker	Ann Walker	24
5	annie_meyers_shyer	Annie Meyers-Shyer	12
5	april_ortiz	April Ortiz	21
5	bd_wong	B.D. Wong	15
5	caroline_lagerfelt	Caroline Lagerfelt	10
5	diane_keaton	Diane Keaton	2
5	eugene_levy	Eugene Levy	20
5	george_newbern	George Newbern	5
5	hallie_meyersshyer	Hallie Meyers-Shyer	13
5	harris_laskaway	Harris Laskaway	23
5	janeadamsii	Jane Adams (II)	26
5	jonathan_emerson	Jonathan Emerson	18
5	kate-mcgregor-stewart	Kate McGregor-Stewart	11
5	kc_colwell	K.C. Colwell	25
5	kieran_culkin	Kieran Culkin	6
5	kimberly_williams	Kimberly Williams	4
5	linda_de_scenna	Linda de Scenna	17
5	martin_short	Martin Short	3
5	mychael_bates	Mychael Bates	7
5	peter_michael_goetz	Peter Michael Goetz	9
5	seth_kaplan	Seth Kaplan	19
5	shannon_kennedy	Shannon Kennedy	22
5	steve_martin	Steve Martin	1
5	susan_beaubian	Susan Beaubian	8
5	tony_simotes	Tony Simotes	14
5	wendy-worthington	Wendy Worthington	16
6	al_pacino	Al Pacino	1
6	amy_brenneman	Amy Brenneman	7
6	ashley_judd	Ashley Judd	8
6	begonia_plaza	Begonia Plaza	35
6	bill_mcintosh	Bill McIntosh	45
6	brian_libby	Brian Libby	29
6	bud_cort	Bud Cort	20
6	dan_martin	Dan Martin	30
6	daniel_ohaco	Daniel O'Haco	33
6	danny_trejo	Danny Trejo	12
6	dennis_haysbert	Dennis Haysbert	14
6	diane_venora	Diane Venora	6
6	farrah_forke	Farrah Forke	46
6	hank_azaria	Hank Azaria	16
6	hazelle_goodman	Hazelle Goodman	25
6	henry_rollins	Henry Rollins	44
6	jeremy_piven	Jeremy Piven	34
6	jerry_trimble	Jerry Trimble	40
6	jon_voight	Jon Voight	4
6	kai-soremekun	Kai Soremekun	37
6	kenny_endoso	Kenny Endoso	42
6	kevin_gage	Kevin Gage	17
6	kim_staunton	Kim Staunton	38
6	kimberly_flynn	Kimberly Flynn	24
6	mario-roberts	Mario Roberts	47
6	martin_ferrero	Martin Ferrero	23
6	mykelti_williamson	Mykelti Williamson	9
6	natalie_portman	Natalie Portman	18
6	niki_harris	Niki Harris	26
6	patricia_healy	Patricia Healy	27
6	paul_herman	Paul Herman	28
6	ray_buktenica	Ray Buktenica	22
6	rick_avery	Rick Avery	41
6	rick_marzan	Rick Marzan	31
6	robert_de_niro	Robert De Niro	2
6	steven_ford	Steven Ford	43
6	susan-traylor	Susan Traylor	39
6	ted_levine	Ted Levine	10
6	terry_miller	Terry Miller	32
6	thomas_rosales_jr	Thomas Rosales Jr.	36
6	tom_noonan	Tom Noonan	13
6	tom_sizemore	Tom Sizemore	5
6	toneloc	Tone-Loc	19
6	val_kilmer	Val Kilmer	3
6	wes_studi	Wes Studi	11
6	william_fichtner	William Fichtner	15
6	xander_berkeley	Xander Berkeley	21
7	1002318-colin_campbell	Colin Campbell	25
7	1016736-john_williams	John Williams (II)	5
7	1050476-paul_harvey	Paul Harvey	17
7	audrey_hepburn	Audrey Hepburn	2
7	bill_neff	Bill Neff	20
7	charles_harvey	Charles Harvey	16
7	david_ahdar	David Ahdar	26
7	ellen_corby	Ellen Corby	12
7	emmett_vogan	Emmett Vogan	24
7	emory_parnell	Emory Parnell	21
7	francis_x_bushman_jr	Francis X. Bushman	6
7	harvey_b_dunn	Harvey B. Dunn	14
7	humphrey_bogart	Humphrey Bogart	1
7	joan_vohs	Joan Vohs	8
7	kay-riehl	Kay Riehl	22
7	kay_e_kuter	Kay E. Kuter	19
7	marcel_dalio	Marcel Dalio	9
7	marcel_hillaire	Marcel Hillaire	10
7	marion_ross	Marion Ross	23
7	marjorie_bennett	Marjorie Bennett	13
7	martha_hyer	Martha Hyer	7
7	nancy_kulp	Nancy Kulp	18
7	nella_walker	Nella Walker	11
7	otto_forrest	Otto Forrest	27
7	rand_harper	Rand Harper	15
7	walter_hampden	Walter Hampden	4
7	william_holden	William Holden	3
8	1054869-william_newman	William Newman	15
8	1063598-marian_seldes	Marian Seldes	11
8	amy_wright	Amy Wright	5
8	blake_heron	Blake Heron	14
8	brad_renfro	Brad Renfro	2
8	charles_rocket	Charles Rocket	4
8	courtland_mead	Courtland Mead	12
8	eric_schweig	Eric Schweig	3
8	heath_lamberts	Heath Lamberts	9
8	jonathan_taylor_thomas	Jonathan Taylor Thomas	1
8	kellen_hathaway	Kellen Hathaway	8
8	lanny_flaherty	Lanny Flaherty	7
8	michael_mcshane	Michael McShane	6
8	peter_mackenzie	Peter Mackenzie	10
8	rachael_leigh_cook	Rachael Leigh Cook	13
9	alan_clement	Alan Clement	44
9	allan_pinsker	Allan Pinsker	62
9	anthony_marino	Anthony Marino	58
9	audra_lindley	Audra Lindley	18
9	bernard_canepari	Bernard Canepari	12
9	bill_clement	Bill Clement	40
9	bill_dalzell_iii	Bill Dalzell III	13
9	brad_moniz	Brad Moniz	60
9	brian-smrz	Brian Smrz	31
9	brian_delate	Brian Delate	38
9	brian_hutchison	Brian Hutchison	51
9	butch_luick	Butch Luick	56
9	callum_keith_king	Callum Keith-King	54
9	daniel_r_pagath	Daniel R. Pagath	61
9	david_flick	David Flick	46
9	dean_e_wells	Dean E. Wells	28
9	diane_robin	Diane Robin	25
9	dixie_neyland_tymitz	Dixie Neyland Tymitz	27
9	dorian_harewood	Dorian Harewood	6
9	douglas_rees	Douglas Rees	63
9	ed_evanko	Ed Evanko	41
9	faith_minton	Faith Minton	21
9	fred_m_waugh	Fred M. Waugh	35
9	fred_mancuso	Fred Mancuso	57
9	gilbert_b_combs	Gilbert B. Combs	37
9	glenda_morgan_brown	Glenda Morgan Brown	71
9	glenn_alan_gardner	Glenn Alan Gardner	47
9	harold_surratt	Harold Surratt	34
9	jack_erdie	Jack Erdie	45
9	jack_skelly	Jack Skelly	66
9	jay_caufield	Jay Caufield	43
9	jean_pierre_nutini	Jean Pierre Nutini	23
9	jeanclaude_van_damme	Jean-Claude Van Damme	1
9	jeff_habberstad	Jeff Habberstad	33
